uniqueID,drugName,condition,text,rating,date,usefulCount
90124.0,Insulin glulisine,"Diabetes, Type 1","""Great medicine. No side effects.""",9.0,31-Oct-11,3.0
156537.0,Dulaglutide,"Diabetes, Type 2","""I&rsquo;ve been on Trulicity about 5 months and haven&rsquo;t had any negative side effects.  Before trulicity my A1C was 12.5 and my sugars couldn&rsquo;t be controlled.  I failed the usual oral medications due to a stomach issues and my weight was climbing.  After 3 months on Trulicity my A1C dropped to 8.5 and I lost 11 lbs.  My sugar has been much easier to control and at 5 months I&rsquo;ve lost 22 lbs. and only have 15 lbs. to go to get to my pre-diabetic weight of 120 lbs.  I&rsquo;ve been able to control my appetite and make better food choices and I have more energy.  I also use once daily Farxiga (pill) and once daily Lantus (injection).  An interesting side effect of better controlled sugar and weight loss has been better respiratory volume when I&rsquo;m active.""",10.0,6-Nov-17,3.0
137535.0,Isotretinoin,Acne,"""Loved this. Took it about a year ago and it took about two months to really show results and you only have to take it for about 6 months. I had acne on my face and back which all cleared up. One side effect though was extreme dryness, which I dealt with. I also suffered from depression halfway through the treatment which I dealt with as well. This was all a year ago. About 5 months ago I had severe acne again as I began working in a greasy environment so I was a mess again. I'm back on the pills and its working wonderfully, I'm halfway through and now have mild depression but its not so bad. The only thing I worry about is when I get off this if I'll break out again badly. Also, most people don't ever have to do a second round of this.""",9.0,1-May-09,61.0
36444.0,Bismuth subcitrate potassium / metronidazole / tetracycline,Helicobacter Pylori Infection,"""It's three days after finishing the tenth day of taking Pylera. The first four days of taking the medication, I felt no side effects. On days five through ten, I was nauseous, dizzy, and had a headache, especially right after taking my daily doses. I took the medicine with a meal three times a day and with a light snack before bed. Stools also turned a dark greenish color and were often irregular throughout the day bordering on diarrhea. Also had a feeling of uneasiness, like a panic attack, right after taking the medicine on three occasions. I'll have to check with my doctor to confirm if the H. pylori has been eradicated and also wait a few weeks to see if my ulcers heal (which I've read can take from a few weeks to a few months).""",8.0,25-May-14,24.0
220414.0,Amitriptyline,Migraine Prevention,"""As far as helping me with my migraines it helped out a lot. I had absolutely none after 3 weeks of taking the medication, however it made me feel like a zombie throughout the day and for some reason when I didn't take it exactly on time I wouldn't be unable to fall asleep at night. I also gained a great amount of weight. """,6.0,2-Oct-13,48.0
139574.0,Luvox,Obsessive Compulsive Disorde,"""15 years ago after suffering with severe panic attacks I found a doctor who found the root of my troubles was my Obsessive Compulsive Disorder. I was on Luvox, brand name only because when I tried the generics they did NOT work? During the time it was off market, I suffered terribly until it came back. It keeps my OCD in check to the best it can be BRAND name only, I do not know why.""",9.0,16-Feb-14,79.0
60168.0,NuvaRing,Birth Control,"""My boyfriend and I discovered that it made him go soft after about 10-15 minutes! It must be something to do with the hormones releasing...I don'tknow. All I know is he would go soft every time when I had it in and ever since I switched back to the pill he hasn't!""",1.0,16-Feb-13,2.0
156134.0,Cialis,Erectile Dysfunction,"""I am 47 and a smoker. I have never experienced erectile dysfunction in the past, but the last 2 years, after many stressful events and psychological downturns, my erections are fluctuating, which is beyond my personal control. Feeling anxious whether I would perform properly or not, worsened my condition and I started using a 20mg pill in four pieces (5mg). By now, I have used it only twice and the results were beyond my expectations. No side effects at all and my erection brought memories of my early 20s back. Impressing is as well is its duration, about 3 to 4 days.""",9.0,20-Oct-11,35.0
111985.0,Gianvi,3</span> users found this comment helpful.,"""I was on Yaz for about two and a half years before having been switched over to Gianvi, which I've been on for a month now.  I feel like Yaz worked much better for me than this new generic.  I know that my body might need time to get used to it, but my period so far has been...not what I'm used to.  With Gianvi my period seems to be light to the point where I'm afraid I'm spotting and might be pregnant, and it's accompanied by gas and constipation, and some pretty nasty mood swings.  I never had this problem with Yaz. I'll be switching back to Yaz.""",2.0,9-Oct-10,3.0
130638.0,Levonorgestrel,Birth Control,"""My problems with it: Bled for 4 or 5 months straight completely irregular period and spotting throughout (plus discharge on a daily basis), HORRIBLE migraines at least once or twice a week. At the most every day for a week and I had never had even a small headache before this birth control. I have gained 20 pounds. I'm naturally small and lost all my weight after having my child with no effort so this is strange for me. No sex drive, horrible depression, anxiety and mood swings, insomnia, nausea, face break out (never even had a zit), and horrible muscular pain. Getting it out.""",1.0,27-Mar-12,8.0
184117.0,Hydroxyzine,Anxiety,"""I have had severe Panic Disorder and Anxiety since I was 18. I am now many years older and still have a lot of problems with it. I was prescribed Hydroxyzine and paxil recently. I take 25 mg twice a day as needed and overall, I would say they do cut the edge off and allow me to escape the fight or flight feeling of complete panic. The tired laggy drained feeling is a definite negative although I will take that over a trip to the ER anyday. Utimately I think other medications are far superior in truly calming the symptoms of Anxiety, actually calming the mind as well as the body. Hydroxyzine usually seems to just make you sleepy and kind of sleep the fear away, whereas other medications like Benzo's calm you completely, without the lag.""",6.0,10-Oct-16,32.0
212163.0,Lamotrigine,Bipolar Disorde,"""Had a weird manic/mixed night so put myself up to 300mg from 150 while dropping Effexor from 300mg to 150. Went completely nuts and very confused (another manic/mixed night oddly enough, that felt about the exact same as the former) but now it's been 2 more weeks since I switched the dosages, so a month total, and I feel FAR more normal than I have in 7 years. Seems antidepressants really are the devil for bipolar disorder, which I never truly believed until now. That being said, I'm fairly certain I needed Effexor at one time. Don't know what I'd do without this med actually.

If you need a Dr to request approval for your insurance coverage (remember Plan G if you're on the poor side), that will work instead of e.g. taking lithium.""",9.0,30-Mar-15,6.0
71209.0,Lysteda,Menorrhagia,"""I've been taking Lysteda for over a year and I absolutely love it! I have fibroids and I bleed very heavily (soak a super plus tampon in an hour). With Lysteda my periods are so much better! I take 4 pills per day (morning and night) for two days and the bleeding is decreased by about 60% to 70%. I do get headaches after taking it but it's worth it.""",9.0,13-Mar-13,77.0
79159.0,Plan B One-Step,Emergency Contraception,"""My boyfriend and I purchased Plan B in need of a emergency contraception. I had no side effects at all. Everything went smooth. I recommend this to anyone in an emergency fast need!""",10.0,24-Aug-16,11.0
56228.0,Humira,Crohn's Disease,"""Complete remission within first month, for about six years. Then, developed a bacterial infection (lymph nodes) that couldn't be controlled, so discontinued Humira. Infection subsided about six months after discontinuing Humira.""",5.0,7-May-16,14.0
184207.0,Hydroxyzine,Anxiety,"""Ice been taking hydroxy 50mg for a month now for anxiety and it does calm me down and not to mention the itching every where i get on my body when being anxious. Love it i usually try and take it at bed time only cuz it does knock me out""",8.0,18-Jul-16,17.0
166403.0,Levonorgestrel,Emergency Contraception,"""My boyfriend &amp; I accidentally got too intense on one occasion, &amp; even though he didn't penetrate me all the way, &amp; we didn't mess around long enough for him to cum inside of me, we decided to take Plan B after talking about it later on since he did cum about 30 minutes beforehand &amp; we weren't sure if any remnants of his sperm would make their way inside of me. I took the pill exactly 24 hours after the incident &amp; experienced no side effects whatsoever. I have roughly a 32-35 day cycle, &amp; the day our incident happened was 4-5 days after my period had ended. While on the pill I experienced dryness in my cervix, which later became light brown spotting, &amp; then dark, sticky brown blood which turned into my period! You will be FINE! I promise!!""",10.0,8-Nov-16,9.0
210861.0,Mirtazapine,Anxiety,"""I have bad anxiety for years and I tired a few meds but they weren't working for me . Now I am on Mirtazapine 15 mg I only take one pill a note. The first nite I felt great little tired but the anxiety stopped. The sec nite was little different I had a few anxiety attacks but I managed to control them . I feel really tired and have a few attacks during the day but not as bad as before . I'm going to give this medicine a try and I'm going to have to go to therapy as the doc told me it will help, since I have been diagnosed with anxiety for years . I pray this will help me and get my life back. Good luck to all of you that are having bad times with anxiety and depression.""",4.0,30-Sep-15,71.0
102834.0,Aripiprazole,Bipolar Disorde,"""I WAS on Abilify for more than a year. then it got prohibitively expensive. (over $250) I was on 15mg. It made my rage and aggression more manageable. I think this is a MIRACLE pill. The only side affect that DIDN'T go away, was the restless leg syndrome. If you can afford this medicine, take it, it's GREAT.""",8.0,14-Feb-13,52.0
198687.0,Depo-Provera,Abnormal Uterine Bleeding,"""I started depo September 23rd 2016  I recently got my 3rd shot March 23rd. Mood swings are awful and I constantly have brown discharge or it will disappear and look normal and then bam bleeding out of nowhere like a gush and today its dark with small clots. I don't know what to do guys my boyfriend doesn't like blood so our sex life hasn't been the usual 4 days a week its more like 2 days every 2 weeks. Its kind of became a burden. Like most of you I have a hard time remembering to take pills so a shot every three months on the 23rd (I started depo the day I got my period) I used to bleed heavily on my periods to the point where I had to wear overnight pads for the first 4 days of it. Now honestly I regret ever being on depo.""",1.0,27-Apr-17,1.0
68663.0,Medroxyprogesterone,Abnormal Uterine Bleeding,"""I started my first Depo shot in July of 2016 after I hadn't seen my period since April of 2016, and it was now July. I was only on BC to regulate my terrible menstrual cycles and horrible cramps. So after years of being on the pill, I decided to go a different route. My first shot in July was fine. I finally got my period again in September and it stayed on the entire month. After I went back for my second shot it October, my doctor prescribed me hormone pills to take for a week to make it go off - it worked. After 2 wks my period was back on. I had taken all 4 of the other prescriptions to stop the bleeding and it never stopped and I've been bleeding ever since. I scheduled to have my 3rd shot 1/6/17 and didn't go! DO NOT GET ON DEPO!!!""",1.0,31-Jan-17,2.0
167896.0,Kariva,Birth Control,"""Kariva definitely had its ups and downs for me, but the downs were so horrible I had to go off.

Pros:  I never got pregnant.  I stopped getting cystic acne on my chin and my skin was way clearer than it had ever been before (other birth control had been ineffective in doing this).  My sex drive was not decreased at all.

Cons:  My boobs went from a C to spilling out of a DD and tender. I gained 10 lbs and NONE of my clothes fit anymore.  My feet and ankles got so swollen that some of my shoes stopped fitting.  For the first three months I spotted like crazy.  After that, my periods were regular and not too bad of flow, but other birth controls had made me have a 2 day &quot;barely there&quot; period or not get a period at all which was way better.""",4.0,18-Jul-16,3.0
190435.0,Ortho Tri-Cyclen Lo,Birth Control,"""This is my second time on Ortho Lo and I have to say I am unimpressed again. I gave it a 5 as it does protect from pregnancy well, but that's it. This pill makes me feel crazy, have racing anxious thoughts, worrying about lots of things including death, like crying or punching someone in the face, and very tired. My face breaks out painfully. My breasts are so sore I can barely move. My periods are heavier and more painful. Also, my hair is thinner and comes out in clumps. To whoever wrote they had that happen and heard going off it makes it worse: go off it! I was on this for a year, and when I went off it, my hair grew back in and the thinning spots went away. Coming back on it, I already feel my hair thinning.""",5.0,9-Jan-11,2.0
143105.0,Etonogestrel,Birth Control,"""I was on  a IUD for 5 years prior to getting this birth control put in my arm in at first it seemed ok no periods my children are 18 years and 15 years and the thought of starting over was scary being after becoming a teen mother. After a year or so I started having problems with my arm being in so much pain (this was the same arm  the birth control was in.) I consulted with my doctor she said you're fine you have no periods or acne so keep it in a while longer. Less than 3 months later I was back I pleaded with her please take it out my whole arm was in so much  pain she says its not the birth control. After 2 years its out I still believe to this day it was the birth control but theres no proof my arm and left side still is in so much pain don't get this birth control""",1.0,28-May-17,1.0
184629.0,Albiglutide,"Diabetes, Type 2","""I tried Tanzeum for a month before giving up on it.  The first week I experienced nausea and headaches but willed myself to continue on.  By week two I was having joint pain in my hands and feet, but did not attribute the pain to Tanzeum.   The joint pain increased each day, my entire body suddenly felt like an 90 year old.  My hips hurt, it was difficult to walk up stairs etc.  Finally connected the dots and stopped the injections.  Over the next 2 to 3 weeks the pain gradually disappeared.  Wouldn't try it again.""",1.0,20-Jan-17,5.0
90373.0,Cheratussin AC,Cough,"""I would have gave this medicine a 10 if it wasn't for the dull headache (may not have been due to the drug I was battling a sinus infection anyway) after I took this medicine. Cough was gone within an hour. Make sure you drink a lot of water. Maybe that's why I got the headache too. Also, I noticed that I was very sensitive after taking this drug. I actually cried a little bit because of the sinus pressure. When usually I just suck it up with pain and never cry. Stopped wheezing. Make sure to take a warm shower too after taking this drug it will also help clear the mucus.""",7.0,19-Aug-15,15.0
229183.0,Tadalafil,Erectile Dysfunction,"""I am 19-almost 20 and I've been having erectile dysfunction issues due to stress. I've been engaged to a wonderful girl for around 3 months now.

We have not had sex. First it was due to her being hurt. Then to me being unable to stay hard. I just took a 20mg of generic tadalafil 20 mins ago. I'm no longer worried. All I've noticed so far is a little bit of redness in the face. I'm Happy-she will be too.""",10.0,28-Apr-12,1.0
55067.0,Bupropion / naltrexone,Weight Loss,"""I was on this medication for 5 months, the first month I could feel the difference with my appetite,but I never lost any weight being on it the whole 5 months .. I would watch what I eat drank plenty water and even walked.. So I would never recommend this medication to anyone .""",2.0,26-May-16,9.0
69391.0,Buprenorphine,Opiate Dependence,"""This medication is a life saver.  After years of taking Oxycodone and Oxycontin, I found myself at a Methadone clinic.  Methadone kept me in hibernation state of mind.  I would sleep all my days away and felt trapped by the daily visits to the clinic.  Buprenorphine changed my life. I was able to lead a fully functional life again.  I no longer slept my life away and was able to hold a job and become a productive member of society again.  Some people will try to discredit buprenorphine but that's because they still want to be high on opiates. If someone you love is addicted they have 3 options...jail...death or buprenorphine. I'm living proof it works. I'm four years clean thanks solely to buprenorphine.""",10.0,11-Sep-16,21.0
37323.0,Vyvanse,Binge Eating Disorde,"""Update from my my April post...the drug is an absolute miracle that's saved me from the out of control eating and depression that consumed me every single day. Taking Vyvanse 50 mg helps me to never even think about food and plan binge evenings and weekends. In fact, I never want to eat large or small quantities of really bad foods at all anymore. I've lost all my binge weight! I hope to never go off the med for fear of my eating disorder returning. It is the only thing that's worked for me after years of therapy/treatment. Amazing!""",10.0,7-Nov-15,59.0
149342.0,Mirena,Birth Control,"""I'm 25 years old,and I have always had painful heavy periods for as long as I can remember and after I had my first child (C-section ) my hormones were so messed up, I was hemorrhaging and ended up in the hospital. I tried every kind of birth control you can think of. Mirena was my last choice, since they wouldn't give me a hysterectomy because of my age. The procedure was the most painful experience. I guess since I haven't had intercourse in over a year, and didn't have a vaginal birth, my cervix has never been dilated. After 4 times trying to put the Mirena in, It was in. First day was absolutely terrible. But after that it was okay. Light spotting occasionally. Would recommend this to women who have had a vaginal birth.""",9.0,6-Dec-14,8.0
156411.0,Ropinirole,Restless Legs Syndrome,"""When the medicine did  finally get in my system, it helped with some of the restless leg syndrome, but I had so many other side effects I had to stop taking it. One major side effect was that I would get these headaches and it felt like there was pressure on my head. I would feel really weird like I was about to explode, the feeling was so weird that I had to stop taking it, and that major symptom disappeared. That was my experience with the trail kit. I'm on gabapentin now and no adverse side effects besides gaining a ton of weight. I don't like that either but I can deal with that better than the weird feeling with the Requip.""",3.0,16-Jan-10,8.0
140159.0,Asenapine,Bipolar Disorde,"""I'm Bipolar 1 Rapid Cycling &amp; also have ADD; this medication saved my life. I have been on it for a year now (along with a cocktail of others, I am BP 1, let's be realistic) titrating from 5 mg to 30 mg all at night. I was in constant mixed states, I couldn't control my impulses, my anxiety and paranoia were through the roof and I was unemployed - leaving the house, let alone working wasn't an option. I work fulltime now in a professional environment, back on my career track. My mood is stable, and for once in my 15 year diagnosis I can say I'm stable.  Side effects take time to pass, and some never go away, for me, its AM daily muscle pain for 90 mins. I haven't been able to touch a drop of liquor, not even a sip of beer; I prefer sanity.""",10.0,16-Aug-15,40.0
24406.0,Polyethylene glycol 3350 with electrolytes,Bowel Preparation,"""I just finished my first litre of Moviprep for my colonoscopy tomorrow. It's disgusting tasting and very hard to swallow, I'm constantly gagging. It does exactly what it's suppose to though, I feel like I'm peeing from my butt and it's definitely cleaning out my system. 
I'm dreading the next litre in the morning.""",5.0,20-Apr-17,13.0
37201.0,Vyvanse,ADHD,"""I have been taking ADHD medications for about 10 years and vyvanse is by far my favorite. I take 50mg of vyvanse as needed. I always feel very productive when taking it and It really helps me focus and get things done without the procrastination. Although, it does what it is supposed to do I do have a few side effects that prevent me from taking it everyday. I have a history with anxiety/depression and this medicine brings back some of those symptoms. Also, I tend to be a perfectionist when I take the medicine. I catch myself taking longer to take exams and redoing my makeup or hair or brushing my teeth more than once simply because I feel like it isn't just right. Also I am more isolated and less social when I take the pill.""",6.0,4-May-17,19.0
113448.0,Bisacodyl,Constipation,"""I have been constipated for four days and my GP recommended I try Dulcolax.  I took it at noon and around 6.30pm I was in agony with my stomach churning. I vomited several times and was stuck with unproductive straining. I was having cold sweats and was very spaced out. When I could move to my medicine cabinet I took 10mg of Buscopan and some paracetamol which seems to have helped. I am not trying this again.""",2.0,25-Jul-14,21.0
104740.0,Ethinyl estradiol / levonorgestrel,Birth Control,"""I have been taking Levora for the past 6 months or so. I LOVE IT. I have no severe side effects except tender breasts sometimes. Sex drive has also definitely increased. The only problem I have with Levora is that when its time to take the &quot;reminder&quot; pills it takes a few days to get my period....it always scares me....but so far, my period has always come. ALL IN ALL, I'M VERY HAPPY WITH LEVORA.""",10.0,26-Oct-10,7.0
116561.0,Nadolol,Migraine Prevention,"""Definitely helps the migraines but not my waistband =(.  Ever since I started taking Corgard, I keep packing weight on.""",10.0,16-Aug-17,4.0
195207.0,Hydrocodone / ibuprofen,Pain,"""It is amazing pain relief. I built a tolerance so quickly! I could take 1 and feel so much better and soon it was one and a half 7.5s and weeks later two 7.5s. Lidoderm patch and TENS unit helped some but you feel like you need the medicine so very easy to convince your body that you NEED it. Gained 10 lbs. After 3 years and some physical therapy plus Neurontin. PM doctor switched me to Nucynta. No tolerance to that yet! They have injected my intercostal nerves with cortisone to see if it was nerve damage from the back to back pregnancies. Constipation has been horrible. I need two Vicoprofen 10s every 8 hours but oh well. Some relief is nice.""",8.0,22-Apr-12,18.0
61838.0,Xyzal,Allergies,"""The drug seems to work but it made me so dopey and sleepy that I couldn't take it. It made me feel like I was on actual drugs. Disappointing.""",1.0,11-Apr-17,19.0
188190.0,ParaGard,Birth Control,"""Fatigue
Joint Pain
Depression
Loss of libido""",3.0,26-Nov-17,1.0
91719.0,Acetaminophen / butalbital,Headache,"""I suffered from headaches lasting months at a time.. tried so many different Drs and medications, until the other day I got some samples of Bupap. OMG! I forgot what it felt like to feel normal.  People at work ask me what did I do, that I look different today. I say, &quot;I don't have a headache&quot;.""",10.0,16-Jan-12,26.0
127347.0,Melatonin,Insomnia,"""I started having sleeping problems during menopause. Someone recommended melatonin and I bought some. I haven't slept this good since I was a child! I would recommend it to anyone with problems falling asleep or staying asleep. Also, I awake refreshed with no drowsiness.""",10.0,3-Mar-09,66.0
201076.0,Zoloft,Panic Disorde,"""Was switching from 40mg of Celexa to 100mg of Zoloft.  Felt great first two weeks. Then it was pure hell after that.  I ended up with Serotonin syndrome during the switch. Ok.  Gave the drug a good 8 weeks.  Couldn't sleep.  Was way too activating.  Made me feel trapped in a constant state of anxiety and panic. Zaps in my fingers and toes.  My children at one point asked if I was high because of the way I was acting.  I couldn't even get a coherent thought out.  The last day I took Zoloft I can't even remember I was so out of it.  Not the drug for me.  Those shouldn't persuade you from trying it as many of these meds are hit and miss.""",1.0,10-Feb-17,8.0
222360.0,Betamethasone,Atopic Dermatitis,"""I've used an assortment of medicated creams and ointments in my lifetime of battling eczema. Currently this is the one that keeps it mostly controlled. It doesn't eliminate it altogether, but it works well. I apply it at night and put gloves on (nitril gloves), which helps significantly since my hands are what is affected and it is really difficult to keep medications on long enough otherwise.""",7.0,18-Aug-17,1.0
65686.0,Propranolol,Anxiety,"""Was suffering from crippling anxiety with panic attacks.  I had one whilst driving which forced me to address the issue and see my doctor.  Within three days of taking Propranalol, I feel better that the usual me before the panic attacks and anxiety.  What a wonderful thing.  No side effects apart from I had one glass of wine with supper and felt as if I had had ten!""",10.0,4-Nov-16,48.0
1021.0,Metronidazole,Rosacea,"""Earlier this year my skin looked downright awful with tons of redness with small papules all over my forehead. I started using this once per day with Avene Skin Recovery Cream and my skin is clear, less red. Love!!""",10.0,7-Jul-17,5.0
83411.0,Iloperidone,Psychosis,"""I've been on this medicine since March 28, 2014 and it's currently 3/28/2017. Very effective medicine with no weight gain, but it takes away my ability to ejaculate which I sometimes miss. I've really been waiting on the injection version to be available as this is the best medicine we've found for me for depression and psychosis and I'd like to try the shot. Our insurance Aetna &amp; medicaid covers the co-pay entirely. This medicine is great for anyone suffering from schizophrenia, depression, autism, or bi-polar. I've been diagnosed with all four. Other medicines I've tried are Latuda which gave me the need to constantly move akathesia, I've been on nearly every medicine and I'd recommend this one the highest , I also take clonidine to sleep""",9.0,28-Mar-17,5.0
203133.0,Fentanyl Transdermal System,Chronic Pain,"""I have three damaged disc's in my lower back. Doctors wanted to remove. I refused and started out on 120 Lortabs per month. That was increased by the additional 120 tabs of 15 mg oxycodone per month. My life was consumed by pain so bad I could could hardly get out of bed or walk. 6 months later I was prescribed an additional 60 30 mg of Morphine. Needless to say I am no longer in any pain, I was nodding out everywhere. I took morphine for a year. Detox wasn't fun and it's worst if you are a weak junkie. I took oxycodone for another year. My doctor suggest Fentanyl. It changed my life.""",10.0,14-Mar-14,52.0
